Timestamp,Observation Date,Observation Time,Rip Current Activity [Balboa Ct.],Rip Current Activity [San Fernando Pl.],Rip Current Activity [Santa Clara Pl.],Balboa Ct. Rip Index,San Fernando Pl Rip Value,Santa Clara Rip Index,Balboa Ct. # of Rip Rescues:,San Fernando Pl.. # of Rip Rescues:,Santa Clara Pl.. # of Rip Rescues:,Observer ID:,Username,Statement 0,Statement 1,Statement 2,Statement 3
6/30/2015 20:23:30,6/30/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Very strong rip currents present, hazardous conditions","Very strong rip currents present, hazardous conditions",1,3,3,0,0,3,121531,,,,,
7/1/2015 20:20:16,7/1/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,Brian Clark,,,,,
7/1/2015 20:20:59,7/1/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,Brian Clark,,,,,
7/3/2015 18:11:10,,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,2,2,2,Vandever,,,,,
7/4/2015 13:14:24,7/4/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Very strong rip currents present, hazardous conditions","Medium to strong rip currents present, will likely be hazardous to swimmers",1,3,2,0,3,0,121531,,,,,
7/4/2015 19:19:31,7/4/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",1,2,2,4,7,6,303037,,,,,
7/5/2015 14:21:54,7/5/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,2,1,0,0,0,JBoisvert,,,,,
7/5/2015 18:18:56,7/5/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,303037,,,,,
7/6/2015 14:00:21,7/6/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,303037,,,,,
7/6/2015 18:19:24,7/6/2015,3:00 PM,No rips present,"Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",0,2,2,0,0,0,199552,,,,,
7/6/2015 19:37:12,7/6/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,1,2,0,AKnight,,,,,
7/7/2015 17:18:44,7/7/2015,11:00 AM,No rips present,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",0,1,1,0,3,0,199552,,,,,
7/7/2015 20:29:12,7/7/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,2,1,0,1,0,Brian Clark,,,,,
7/8/2015 19:05:54,7/8/2015,11:00 AM,No rips present,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",0,1,1,0,0,0,199552,,,,,
7/8/2015 19:07:41,7/8/2015,3:00 PM,No rips present,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",0,1,1,0,0,0,199552,,,,,
7/9/2015 14:27:09,7/9/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,2,1,0,0,0,AKnight,,,,,
7/9/2015 18:10:50,7/9/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,AKnight,,,,,
7/10/2015 14:24:19,7/10/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",1,1,2,0,0,0,JBoisvert,,,,,
7/10/2015 18:24:45,7/10/2015,3:00 PM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",2,2,2,0,1,0,Poskey,,,,,
7/11/2015 13:52:31,7/11/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",1,2,2,0,0,0,121531,,,,,
7/11/2015 17:45:28,7/11/2015,3:00 PM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Very strong rip currents present, hazardous conditions","Medium to strong rip currents present, will likely be hazardous to swimmers",2,3,2,1,2,1,221232,,,,,
7/12/2015 12:46:11,7/12/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,2,1,0,0,0,121531,,,,,
7/12/2015 18:19:47,7/12/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,1,2,2,AKnight,,,,,
7/13/2015 15:25:05,7/13/2015,11:00 AM,No rips present,"Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",0,2,2,0,0,0,199552,,,,,
7/13/2015 18:57:29,7/13/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",1,2,2,0,3,1,AKnight,,,,,
7/14/2015 15:06:53,7/14/2015,11:00 AM,No rips present,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",0,1,1,0,0,0,199552,,,,,
7/15/2015 14:58:16,7/15/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",1,1,2,0,0,0,JBoisvert,,,,,
7/16/2015 18:09:25,7/16/2015,3:00 PM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",2,2,2,3,2,0,JBoisvert,,,,,
7/17/2015 16:04:36,7/17/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,303037,,,,,
7/17/2015 18:23:22,7/17/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Very strong rip currents present, hazardous conditions","Medium to strong rip currents present, will likely be hazardous to swimmers",1,3,2,2,9,0,Poskey,,,,,
7/18/2015 15:08:09,7/18/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,AKnight,,,,,
7/19/2015 14:57:28,7/19/2015,11:00 AM,No rips present,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",0,1,1,0,0,0,199552,,,,,
7/19/2015 18:01:05,7/19/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,2,0,221232,,,,,
7/20/2015 14:18:48,7/20/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,Poskey,,,,,
7/20/2015 18:54:40,7/20/2015,3:00 PM,No rips present,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",0,1,1,0,0,0,199552,,,,,
7/22/2015 14:40:38,7/22/2015,11:00 AM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",2,1,1,0,0,0,JBoisvert,,,,,
7/23/2015 18:07:55,7/23/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,2,1,5,4,0,Poskey,,,,,
7/24/2015 14:11:38,7/24/2015,11:00 AM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",2,2,1,0,1,0,AKnight,,,,,
7/25/2015 18:23:04,7/25/2015,3:00 PM,"Very strong rip currents present, hazardous conditions","Very strong rip currents present, hazardous conditions","Medium to strong rip currents present, will likely be hazardous to swimmers",3,3,2,10,10,0,AKnight,,,,,
7/26/2015 14:19:07,7/26/2015,11:00 AM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",2,2,2,2,0,0,199552,,,,,
7/26/2015 20:57:49,7/26/2015,3:00 PM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",2,2,2,6,7,0,199552,,,,,
7/28/2015 17:58:45,7/28/2015,11:00 AM,"Very strong rip currents present, hazardous conditions","Very strong rip currents present, hazardous conditions","Very strong rip currents present, hazardous conditions",3,3,3,0,0,0,199552,,,,,
7/30/2015 17:26:08,7/30/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,3,0,Vandever,,,,,
7/30/2015 17:27:05,,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,3,0,Vandever,,,,,
7/31/2015 18:19:37,7/31/2015,3:00 PM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Very strong rip currents present, hazardous conditions","Medium to strong rip currents present, will likely be hazardous to swimmers",2,3,2,2,5,0,J. Hatfield,,,,,
8/1/2015 15:51:23,8/1/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,Vandever,,,,,
8/2/2015 15:27:07,8/2/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,2,1,0,0,0,121531,,,,,
8/4/2015 16:05:29,8/4/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,199552,,,,,
8/4/2015 18:13:38,8/4/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,Rodley 207149,,,,,
8/6/2015 18:26:18,8/6/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,Vandever,,,,,
8/7/2015 14:37:05,8/7/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,2,1,1,2,0,J. Hatfield,,,,,
8/9/2015 14:10:24,8/9/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",1,2,2,0,0,0,121531,,,,,
8/9/2015 14:22:52,8/9/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",No rips present,1,1,0,0,0,0,221232,,,,,
8/9/2015 19:41:56,8/9/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,221232,,,,,
8/11/2015 18:49:36,8/11/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,207149,,,,,
8/13/2015 15:51:37,8/13/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,220325,,,,,
8/13/2015 18:33:39,8/13/2015,3:00 PM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",2,2,2,1,1,1,221232,,,,,
8/14/2015 14:37:28,8/14/2015,11:00 AM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",2,2,2,0,0,0,303037,,,,,
8/15/2015 17:01:56,,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,Vandever,,,,,
8/16/2015 14:40:17,8/16/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,Poskey,,,,,
8/16/2015 18:32:09,,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,1,0,221232,,,,,
8/17/2015 15:16:26,8/17/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers",No rips present,No rips present,1,0,0,0,0,0,242493,,,,,
8/17/2015 20:30:38,8/17/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",No rips present,1,1,0,0,0,0,220325,,,,,
8/18/2015 18:39:25,8/18/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",No rips present,1,1,0,0,0,0,207149,,,,,
8/18/2015 13:54:29,8/18/2015,11:00 AM,No rips present,No rips present,No rips present,0,0,0,0,0,0,199552,,,,,
8/19/2015 18:02:59,8/19/2015,3:00 PM,No rips present,No rips present,No rips present,0,0,0,0,0,0,19952,,,,,
8/20/2015 14:06:18,8/20/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,JBoisvert,,,,,
8/21/2015 18:34:23,8/21/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,JBoisvert,,,,,
8/22/2015 17:18:43,8/22/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,M. Pimentel,,,,,
8/23/2015 14:56:29,8/23/2015,11:00 AM,No rips present,No rips present,No rips present,0,0,0,0,0,0,199552,,,,,
8/23/2015 19:41:58,8/23/2015,3:00 PM,No rips present,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",0,1,1,0,3,0,220325,,,,,
8/24/2015 14:21:31,8/24/2015,11:00 AM,No rips present,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",0,1,1,0,0,0,199552,,,,,
8/24/2015 18:13:39,8/24/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,AKnight,,,,,
8/25/2015 14:42:31,8/25/2015,11:00 AM,No rips present,No rips present,No rips present,0,0,0,0,0,0,199552,,,,,
8/25/2015 18:43:24,8/25/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",No rips present,1,1,0,0,0,0,220325,,,,,
8/26/2015 15:13:59,8/26/2015,11:00 AM,No rips present,No rips present,No rips present,0,0,0,0,0,0,220325,,,,,
8/26/2015 17:14:42,8/26/2015,11:00 AM,No rips present,No rips present,No rips present,0,0,0,0,0,0,199552,,,,,
8/27/2015 18:39:18,8/27/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,0,0,AKnight,,,,,
8/29/2015 15:11:03,8/29/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",1,2,2,0,1,0,221232,,,,,
8/30/2015 20:21:42,8/30/2015,3:00 PM,No rips present,"Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",0,2,2,0,10,0,199552,,,,,
8/31/2015 13:58:34,8/31/2015,11:00 AM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Very strong rip currents present, hazardous conditions","Medium to strong rip currents present, will likely be hazardous to swimmers",2,3,2,0,0,0,121531,,,,,
9/1/2015 14:32:31,9/1/2015,11:00 AM,No rips present,No rips present,No rips present,0,0,0,0,0,0,199552,,,,,
9/1/2015 19:17:10,9/1/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",1,2,2,0,3,0,242493,,,,,
9/2/2015 15:42:03,9/2/2015,11:00 AM,"Some low intensity rip currents present, may be hazardous to some swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,2,1,0,0,0,220325,,,,,
9/3/2015 13:38:13,9/3/2015,11:00 AM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers",2,2,2,0,0,0,Brian Clark,,,,,
9/3/2015 21:00:55,9/3/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,0,4,0,vandever,,,,,
9/4/2015 14:50:58,9/4/2015,11:00 AM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Medium to strong rip currents present, will likely be hazardous to swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",2,2,1,0,1,0,221232,,,,,
9/4/2015 18:29:59,9/4/2015,3:00 PM,"Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers","Some low intensity rip currents present, may be hazardous to some swimmers",1,1,1,2,3,0,221232,,,,,
9/5/2015 15:28:02,9/5/2015,11:00 AM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Very strong rip currents present, hazardous conditions","Medium to strong rip currents present, will likely be hazardous to swimmers",2,3,2,0,0,0,121531,,,,,
9/5/2015 18:13:48,9/5/2015,3:00 PM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Very strong rip currents present, hazardous conditions","Medium to strong rip currents present, will likely be hazardous to swimmers",2,3,2,2,2,0,AKnight,,,,,
9/6/2015 12:38:32,9/6/2015,11:00 AM,"Medium to strong rip currents present, will likely be hazardous to swimmers","Very strong rip currents present, hazardous conditions","Medium to strong rip currents present, will likely be hazardous to swimmers",2,3,2,0,0,0,121531,,,,,
9/10/2015 16:52:42,9/10/2015,11:00 AM,No rips present,No rips present,No rips present,0,0,0,0,0,0,199552,,,,,
